Datum,Tid (UTC),Lufttemperatur,Kvalitet
2020-11-12,06:00:00,7.0,G
2020-11-12,18:00:00,7.9,G
2020-11-13,06:00:00,6.9,G
2020-11-13,18:00:00,7.7,G
2020-11-14,06:00:00,7.7,G
2020-11-14,18:00:00,8.4,G
2020-11-15,06:00:00,8.8,G
2020-11-15,18:00:00,9.6,G
2020-11-16,06:00:00,10.4,G
2020-11-16,18:00:00,10.0,G
2020-11-17,06:00:00,9.2,G
2020-11-17,18:00:00,8.6,G
2020-11-18,06:00:00,11.5,G
2020-11-18,18:00:00,12.9,G
2020-11-19,06:00:00,10.4,G
2020-11-19,18:00:00,1.6,G
2020-11-20,06:00:00,2.3,G
2020-11-20,18:00:00,2.1,G
2020-11-21,06:00:00,2.7,G
2020-11-21,18:00:00,6.8,G
2020-11-22,06:00:00,5.8,G
2020-11-22,18:00:00,7.4,G
2020-11-23,06:00:00,4.8,G
2020-11-23,18:00:00,4.7,G
2020-11-24,06:00:00,2.4,G
2020-11-24,18:00:00,7.6,G
2020-11-25,06:00:00,9.5,G
2020-11-25,18:00:00,8.3,G
2020-11-26,06:00:00,7.3,G
2020-11-26,18:00:00,3.0,G
2020-11-27,06:00:00,0.4,G
2020-11-27,18:00:00,1.4,G
2020-11-28,06:00:00,1.4,G
2020-11-28,18:00:00,1.2,G
2020-11-29,06:00:00,-0.6,G
2020-11-29,18:00:00,-0.2,G
2020-11-30,06:00:00,-1.0,G
2020-11-30,18:00:00,2.4,G
2020-12-01,06:00:00,1.9,G
2020-12-01,18:00:00,2.7,G
2020-12-02,06:00:00,2.3,G
2020-12-02,18:00:00,3.8,G
2020-12-03,06:00:00,3.2,G
2020-12-03,18:00:00,4.1,G
2020-12-04,06:00:00,4.2,G
2020-12-04,18:00:00,5.3,G
2020-12-05,06:00:00,6.2,G
2020-12-05,18:00:00,8.0,G
2020-12-06,06:00:00,8.2,G
2020-12-06,18:00:00,6.2,G
2020-12-07,06:00:00,5.8,G
2020-12-07,18:00:00,4.6,G
2020-12-08,06:00:00,3.6,G
2020-12-08,18:00:00,2.6,G
2020-12-09,06:00:00,2.5,G
2020-12-09,18:00:00,2.3,G
2020-12-10,06:00:00,3.0,G
2020-12-10,18:00:00,2.0,G
2020-12-11,06:00:00,2.8,G
2020-12-11,18:00:00,3.2,G
2020-12-12,06:00:00,4.3,G
2020-12-12,18:00:00,5.5,G
2020-12-13,06:00:00,3.4,G
2020-12-13,18:00:00,1.8,G
2020-12-14,06:00:00,1.4,G
2020-12-14,18:00:00,3.1,G
2020-12-15,06:00:00,5.9,G
2020-12-15,18:00:00,6.7,G
2020-12-16,06:00:00,7.0,G
2020-12-16,18:00:00,5.2,G
2020-12-17,06:00:00,5.3,G
2020-12-17,18:00:00,5.5,G
2020-12-18,06:00:00,5.8,G
2020-12-18,18:00:00,6.0,G
2020-12-19,06:00:00,6.6,G
2020-12-19,18:00:00,5.4,G
2020-12-20,06:00:00,5.7,G
2020-12-20,18:00:00,6.8,G
2020-12-21,06:00:00,6.5,G
2020-12-21,18:00:00,6.0,G
2020-12-22,06:00:00,4.5,G
2020-12-22,18:00:00,5.5,G
2020-12-23,06:00:00,5.4,G
2020-12-23,18:00:00,3.3,G
2020-12-24,06:00:00,0.1,G
2020-12-24,18:00:00,0.8,G
2020-12-25,06:00:00,-0.8,G
2020-12-25,18:00:00,-0.5,G
2020-12-26,06:00:00,-1.9,G
2020-12-26,18:00:00,0.4,G
2020-12-27,06:00:00,4.4,G
2020-12-27,18:00:00,4.6,G
2020-12-28,06:00:00,4.3,G
2020-12-28,18:00:00,4.1,G
2020-12-29,06:00:00,4.5,G
2020-12-29,18:00:00,4.3,G
2020-12-30,06:00:00,2.5,G
2020-12-30,18:00:00,2.8,G
2020-12-31,06:00:00,3.8,G
2020-12-31,18:00:00,3.6,G
2021-01-01,06:00:00,2.9,G
2021-01-01,18:00:00,2.8,G
2021-01-02,06:00:00,2.3,G
2021-01-02,18:00:00,0.8,G
2021-01-03,06:00:00,0.4,G
2021-01-03,18:00:00,-1.1,G
2021-01-04,06:00:00,0.3,G
2021-01-04,18:00:00,0.7,G
2021-01-05,06:00:00,0.2,G
2021-01-05,18:00:00,-1.5,G
2021-01-06,06:00:00,-2.9,G
2021-01-06,18:00:00,-0.6,G
2021-01-07,06:00:00,0.0,G
2021-01-07,18:00:00,0.2,G
2021-01-08,06:00:00,0.5,G
2021-01-08,18:00:00,0.6,G
2021-01-09,06:00:00,0.0,G
2021-01-09,18:00:00,-1.2,G
2021-01-10,06:00:00,-1.5,G
2021-01-10,18:00:00,0.5,G
2021-01-11,06:00:00,-3.0,G
2021-01-11,18:00:00,1.8,G
2021-01-12,06:00:00,0.2,G
2021-01-12,18:00:00,-3.0,G
2021-01-13,06:00:00,-2.0,G
2021-01-13,18:00:00,0.2,G
2021-01-14,06:00:00,-2.7,G
2021-01-14,18:00:00,-6.4,G
2021-01-15,06:00:00,-9.9,G
2021-01-15,18:00:00,-5.7,G
2021-01-16,06:00:00,-3.6,G
2021-01-16,18:00:00,-2.1,G
2021-01-17,06:00:00,-2.3,G
2021-01-17,18:00:00,-1.7,G
2021-01-18,06:00:00,-1.7,G
2021-01-18,18:00:00,-1.0,G
2021-01-19,06:00:00,-0.8,G
2021-01-19,18:00:00,1.0,G
2021-01-20,06:00:00,1.1,G
2021-01-20,18:00:00,0.5,G
2021-01-21,06:00:00,4.1,G
2021-01-21,18:00:00,4.4,G
2021-01-22,06:00:00,4.1,G
2021-01-22,18:00:00,3.2,G
2021-01-23,06:00:00,4.9,G
2021-01-23,18:00:00,2.3,G
2021-01-24,06:00:00,0.7,G
2021-01-24,18:00:00,-0.9,G
2021-01-25,06:00:00,0.2,G
2021-01-25,18:00:00,-1.5,G
2021-01-26,06:00:00,-3.1,G
2021-01-26,18:00:00,-2.7,G
2021-01-27,06:00:00,-3.7,G
2021-01-27,18:00:00,-5.5,G
2021-01-28,06:00:00,-5.6,G
2021-01-28,18:00:00,-1.5,G
2021-01-29,06:00:00,-4.0,G
2021-01-29,18:00:00,-3.9,G
2021-01-30,06:00:00,-7.3,G
2021-01-30,18:00:00,-9.4,G
2021-01-31,06:00:00,-10.6,G
2021-01-31,18:00:00,-7.3,G
2021-02-01,06:00:00,-8.9,G
2021-02-01,18:00:00,-4.1,G
2021-02-02,06:00:00,-3.0,G
2021-02-02,18:00:00,-2.4,G
2021-02-03,06:00:00,-6.0,G
2021-02-03,18:00:00,-7.1,G
2021-02-04,06:00:00,-9.1,G
2021-02-04,18:00:00,-8.3,G
2021-02-05,06:00:00,-8.9,G
2021-02-05,18:00:00,-7.5,G
2021-02-06,06:00:00,-9.0,G
2021-02-06,18:00:00,-6.8,G
2021-02-07,06:00:00,-9.6,G
2021-02-07,18:00:00,-6.8,G
2021-02-08,06:00:00,-9.4,G
2021-02-08,18:00:00,-6.6,G
2021-02-09,06:00:00,-7.8,G
2021-02-09,18:00:00,-8.5,G
2021-02-10,06:00:00,-11.7,G
2021-02-10,18:00:00,-6.7,G
2021-02-11,06:00:00,-11.8,G
2021-02-11,18:00:00,-8.9,G
2021-02-12,06:00:00,-10.7,G
2021-02-12,18:00:00,-3.6,G
2021-02-13,06:00:00,-8.5,G
2021-02-13,18:00:00,-2.5,G
2021-02-14,06:00:00,-4.1,G
2021-02-14,18:00:00,-1.3,G
2021-02-15,06:00:00,-4.5,G
2021-02-15,18:00:00,-3.9,G
2021-02-16,06:00:00,-5.4,G
2021-02-16,18:00:00,-2.7,G
2021-02-17,06:00:00,-3.3,G
2021-02-17,18:00:00,-3.9,G
2021-02-18,06:00:00,-3.9,G
2021-02-18,18:00:00,-1.9,G
2021-02-19,06:00:00,0.2,G
2021-02-19,18:00:00,1.8,G
2021-02-20,06:00:00,2.2,G
2021-02-20,18:00:00,4.2,G
2021-02-21,06:00:00,4.0,G
2021-02-21,18:00:00,5.5,G
2021-02-22,06:00:00,4.6,G
2021-02-22,18:00:00,2.2,G
2021-02-23,06:00:00,2.4,G
2021-02-23,18:00:00,4.1,G
2021-02-24,06:00:00,3.5,G
2021-02-24,18:00:00,9.5,G
2021-02-25,06:00:00,8.9,G
2021-02-25,18:00:00,9.4,G
2021-02-26,06:00:00,4.3,G
2021-02-26,18:00:00,8.2,G
2021-02-27,06:00:00,1.4,G
2021-02-27,18:00:00,5.3,G
2021-02-28,06:00:00,2.9,G
2021-02-28,18:00:00,8.2,G
2021-03-01,06:00:00,1.9,G
2021-03-01,18:00:00,5.4,G
2021-03-02,06:00:00,3.7,G
2021-03-02,18:00:00,6.3,G
2021-03-03,06:00:00,1.8,G
2021-03-03,18:00:00,1.3,G
2021-03-04,06:00:00,-1.5,G
2021-03-04,18:00:00,-0.6,G
2021-03-05,06:00:00,-3.2,G
2021-03-05,18:00:00,-0.5,G
2021-03-06,06:00:00,0.6,G
2021-03-06,18:00:00,4.7,G
2021-03-07,06:00:00,-1.0,G
2021-03-07,18:00:00,1.2,G
2021-03-08,06:00:00,-2.4,G
2021-03-08,18:00:00,0.2,G
2021-03-09,06:00:00,-2.0,G
2021-03-09,18:00:00,-1.2,G
2021-03-10,06:00:00,-5.6,G
2021-03-10,18:00:00,-3.9,G
2021-03-11,06:00:00,-0.4,G
2021-03-11,18:00:00,-0.1,G
2021-03-12,06:00:00,2.2,G
2021-03-12,18:00:00,4.6,G
2021-03-13,06:00:00,1.6,G
2021-03-13,18:00:00,2.9,G
2021-03-14,06:00:00,0.2,G
2021-03-14,18:00:00,4.8,G
2021-03-15,06:00:00,3.3,G
2021-03-15,18:00:00,1.8,G
2021-03-16,06:00:00,-0.9,G
2021-03-16,18:00:00,3.4,G
2021-03-17,06:00:00,0.1,G
2021-03-17,18:00:00,0.6,G
2021-03-18,06:00:00,-0.8,G
2021-03-18,18:00:00,-1.4,G
2021-03-19,06:00:00,-3.7,G
2021-03-19,18:00:00,-1.0,G
2021-03-20,06:00:00,-0.6,G
2021-03-20,18:00:00,6.0,G
2021-03-21,06:00:00,2.4,G
2021-03-21,18:00:00,4.4,G
2021-03-22,06:00:00,2.2,G
